outcome_datasets	outcome_trait	num_assoc_loci	outcome_trait_efo	outcome_data_source
NEALE2_20003_1140879424	Alverine | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140879464	Loperamide | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140888172	Mometasone | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140910766	Nicorandil | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1140923402	Co-amilofruse | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141151284	Naratriptan | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141153026	Lercanidipine | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141156846	Amias 2mg tablet | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141157126	Montelukast product | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141168318	Clopidogrel | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141168752	Peptac liquid | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141173348	Hydroxocobalamin | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141175684	Risedronate sodium | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141177532	Nexium 20mg tablet | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20003_1141188146	Simvador 10mg tablet | treatment/medication code	4	EFO_0007010	UK Biobank
NEALE2_20002_1222	Type 1 diabetes | non-cancer illness code, self-reported	4	EFO_0001359	UK Biobank
NEALE2_20003_1140869848	Methotrexate | treatment/medication code	4	CHEBI_44185	UK Biobank
NEALE2_20002_1288	Nervous breakdown | non-cancer illness code, self-reported	4	EFO_0000677	UK Biobank
NEALE2_20002_1224	Thyroid problem (not cancer) | non-cancer illness code, self-reported	4	EFO_1000627	UK Biobank
NEALE2_20002_1502	Appendicitis | non-cancer illness code, self-reported	4	EFO_0007149	UK Biobank
NEALE2_20002_1438	Polycythaemia vera | non-cancer illness code, self-reported	4	EFO_0002429	UK Biobank
NEALE2_20002_1112	Chronic obstructive airways disease/copd | non-cancer illness code, self-reported	4	EFO_0000341	UK Biobank
NEALE2_20002_1312	Prolapsed disc/slipped disc | non-cancer illness code, self-reported	4	EFO_1002005	UK Biobank
NEALE2_20002_1544	Dupuytren's contracture | non-cancer illness code, self-reported	4	EFO_0004229	UK Biobank
NEALE2_20002_1631	Fracture clavicle / collar bone | non-cancer illness code, self-reported	4	EFO_0009614	UK Biobank
NEALE2_20002_1637	Fracture wrist / colles fracture | non-cancer illness code, self-reported	4	EFO_0009515	UK Biobank
NEALE2_20420_raw	Longest period spent worried or anxious	5	EFO_0005230	UK Biobank
FINNGEN_R5_H7_IRIDOACUTE	Acute and subacute iridocyclitis	10	HP_0001094	FinnGEN
FINNGEN_R5_I9_THROMBOTH	Other embolism and thrombosis	8	HP_0001907	FinnGEN
GCST004438	Monocyte chemoattractant protein-1 levels	5	EFO_0004749	GWAS Catalog
GCST004441	Interleukin-18 levels	5	EFO_0004581	GWAS Catalog
GCST004732	Heart rate variability traits (pvRSA/HF)	5	EFO_0008003	GWAS Catalog
GCST004772	Bone mineral density (paediatric, total body less head)	5	EFO_0003923	GWAS Catalog
GCST004941	Dehydroepiandrosterone sulphate levels	5	EFO_0007001	GWAS Catalog
GCST005920	Paternal history of Alzheimer's disease	5	EFO_0009268	GWAS Catalog
GCST006700	Parental longevity (father's age at death)	5	EFO_0007796	GWAS Catalog
GCST009982	Trauma exposure	5	EFO_0010703	GWAS Catalog
GCST90000293	Myocardial fractal dimension (slice 7)	5	EFO_0008205	GWAS Catalog
GCST90010259	P-selectin levels	5	EFO_0007937	GWAS Catalog
GCST90010320	Kallikrein-10 levels	5	EFO_0007937	GWAS Catalog
GCST90011996	Adrenomedullin levels	5	EFO_0010909	GWAS Catalog
GCST90011998	Growth differentiation factor-15 levels	5	EFO_0009181	GWAS Catalog
GCST90012019	C-X-C motif chemokine 1 levels	5	EFO_0008083	GWAS Catalog
GCST90012029	Tumor necrosis factor ligand superfamily member 14 levels	5	EFO_0010613	GWAS Catalog
GCST90012038	Renin levels	5	EFO_0010616	GWAS Catalog
GCST90012062	Galanin peptide levels	5	EFO_0010615	GWAS Catalog
GCST90012064	Protein S100-A12 levels	5	EFO_0010925	GWAS Catalog
GCST90012065	Tumor necrosis factor receptor superfamily member 5 levels	5	EFO_0010607	GWAS Catalog
